Place,Date,Designation,Review
"Ciudad Juárez, CHH",2013-11-12,Almacenista,"El trabajo es muy facil aprendi aser mas responsable a llevar mas en orden  las cosas ,sobre la gerencia se tardan mucho para promoverte aun cuando ya tienes mucho tiempo con un cargo ,lo interesante es que sobre todo hay trabajo en equipo la parte mas dificil es cuado nos ponen turnos de 12hrs ya que  el trabajo es muy movido lo que me gusto mucho esque los jefes te dan las herramientas para que sigas aprendiendo mas"
"Jundiaí, SP",2013-11-11,comprador SR,"Multinacional Chinesa, algumas coisas da cultura não são boas.Porém, empresa tem bom salário e pacotes de benefícios.Também tem plano de carreira"
"San Jose, CA",2013-11-09,Fiber Optics,I am improve my optical skill in here.It is good place for who like flexible schedule working.
"Jundiaí, SP",2013-11-06,operador1,"depois de passar o crachá de ponto eu entrava no meu setor de trabalho cumprimentava meus colegas e minha líder ,fazia o checklist da maquina de raio x e depois iniciava as operações.eu aprendi muitas coisas sobre a minha função na empresa e principalmente como trabalhar em equipe. a direção e a gerencia eram boas. sobre os meus colegas de trabalho nos eramos muito unidos e todos se ajudavam. a parte mais difícil do trabalho era quando a maquina dava algum defeito e demorava para o técnico ajusta-la novamente pois isso acarretava muito transtorno. já a parte mais agradável do trabalho era quando a maquina desenvolvia suas funções normalmente."
"Jundiaí, SP",2013-11-06,Operador de Produção I,"Trabalho de produção, porém fácil e agradável.Aprendi a trabalhar em equipe, ser solidário e prestativo.A Gerência trabalhava com metas, então eram bastante exigentes.Os colegas de trabalho eram cooperativos.A parte mais difícil é ser dedicado porém sem muitas chances de crescimento.A parte mais fácil é poder fazer parte de uma equipe, onde você soma e contribui para o desenvolvimento da empresa."
"Jundiaí, SP",2013-11-06,Tec. eletronico Jr,"Cresci profissionalmente, pois a empresa da muita oportunidade para os funcionários."
"Sriperumbudur, Chennai",2013-11-05,Assistant Manager - Tooling,1. Tool room set-up (commisioning)2. Press shop commisioning3. On job obroad training at China.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Indaiatuba, SP",2013-11-05,Lider de almoxarifado,"Atuei na area do recebimento fiscal e físico a 5 anos.Conhecimento em todas as rotinas de departamento almoxarifado.Participação e auditora de  5S/ISO 9001 e 14000. Conhecimento em sistemas SAP/WMS.Profissional Dinâmica, comunicativa, com grande facilidade para trabalhar em equipe.Conhecimento em rotinas administrativas,arquivo morto e controle e conferência de entrada e saída de caixa."
"Jundiaí, SP",2013-11-03,Qualidade,"Chegavamos e cada um era responsável pelos produtos nos quais fomos previamente instruídos. As vezes tinhamos que fazer o que não era nosso trabalho, mas faziamos.  A parte mais difícil era que não tinhamos estabilidade para fazer uma faculdade ou um curso. Uma semana estavamos no 1º turno, na outra no 2º ou no ADM. Mas era um dos lugares que mais gostei em trabalhar. Tive algumas dificuldades pois tenho inglês e uma lider não me deixava conversar com os chineses para tirar dúvidas."
"Redmond, WA",2013-10-31,Account Manager/ Interconnect,One of the hardest and demanding jobs I have ever had.Foxconn is a high pace work place. It is considered one of the most demanding and competitive work places in the electronics market. People who have worked for Foxconn are highly regarded in the industry for their abilities to work hard and smart under tremendous pressure and putting in long hours.
"Jundiaí, SP",2013-10-30,Aux. Controle de Materiais 3,Empresa boa para se trabalhar com um bom ambiente de trabalho.
"Jundiaí, SP",2013-10-30,Op Produção,"uma empresa com boa comunicaçao entre colegas de trabalho e lider,a produçao na empresa era muito boa a gente estava sempre em postos diferentes aprendendo coisas novas e sempre mantendo o foco na produçao porem nao parava de produzir.Os supervisores,e chefes sempre estavem presentes pela inha de produçaoe eram muitos simpaticos."
"Houston, TX",2013-10-29,Administrative Assistant/Data Entry,It is a good company to work with.The management is ok and co-workers are friendly.The hardest part of he job is their hours. I don't like their work schedule.
"San Diego, CA",2013-10-29,Administrative Assistant,Great people to work with. Growth opportunities Management was great to work with..
"Indaiatuba, SP",2013-10-28,auxiliar de produção,"uma empresa sem reclamações, serviço agradável, colegas de trabalho e chefia sem reclamação."
"Manaus, AM",2013-10-28,Técino ou Supervisor de Injeção Plástica,No dia a dia você era estimulado para a realização do Trabalho.Aprendi a conviver em harmonia com todas as áreas de Trabalho.Havia um bom relacionamento com a direção/gerência.Bom relacionamento com os colegas de trabalho.A parte mais difícil do trabalho era discutido em grupo para a solução dos problemas.A parte mais agradável era quando se conseguia atingir os objetivos planejados pela direção.
"北京市, C22",2013-10-28,Asst. Engg - Global Sourcing & Procurement,Good  for a start being a fresh engineer.You can learn how to handle customers.
"Ciudad Juárez, CHH",2013-10-24,almacenista,"en lo personal fue un trabajo bueno, sin presión y sin estrés para mi creo que todos queremos eso."
"Indianapolis, IN",2013-10-22,Product Engineer,"It's a huge company to work for.  Product lines are very diverse, and Foxconn's customers are also Tier 1 brands."
"Manaus, AM",2013-10-21,Supervisor de TI,"Empresa típica chinesa que lhe proporciona aprendizado devido cultura diferente. Vale a pena, pois o polo tem crescido bastante com empresas chinesas."
"Jundiaí, SP",2013-10-20,Auxiliar Administrativo,"A foxcoon e uma empresa que busca unicamente expandir seus negócios, tem um compromisso sérios com seus funcionar dando lhes uma oportunidade ampla de conhecimento."
"Jundiaí, SP",2013-10-18,Gerente Industrial,"Muitos desafios a cada dia onde vc trabalha por dois ou três.Aprendi que conseguimos ter bons resultados mesmos com pouco, que devemos sempre ter mais de dois fornecedores para barganhar o melhor preço, e que a falta de investimento sempre nos leva a perdas maiores.A gerência é cada funcionário que assume o dia a dia. Pois a direção pode estar longe de ser um suporte para a média gerência.A parte mais difícil sempre será ter que demitir alguém por causa da baixa do mercado, e com isso a readequação do Quadro de funcionários. Sempre perdemos bons funcionários.Sempre teremos uma nova oportunidade para aprender e um novo desafio para assumir."
"Jundiaí, SP",2013-10-13,Operador de Manofatura,Empresa não se importa com os funcionários.Não tem promoção para os funcionarios.
chennai,2013-10-11,product engineer,"1. New project trial on customer end ,2. Learned team leading 3. Build approval from customer end by team work"
"Durham, NC",2013-10-09,Assembly Line Worker,I learned about different computer parts and computer units. A typical day at work could sometimes be busy or very slow depending on how many units we had to build that day.
"Jundiaí, SP",2013-10-06,Auxiliar de Produção,"Uma empresa na qual de uma oportunidade de trabalhar sem experiencia na linha de SMT com placas de ifone onde aprendi muito sobre expeção,tenho facilidades de relacionamento de colegas de trabalho onde se tornava um lugar muito bom de se trabalhar."
"Durham, NC",2013-10-03,Soldering Technician,employees worked togetherall were working for temp agencies
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Houston, TX",2013-10-03,Data Entry,"I download and input data which needs to be assembled and be packed out.having to come in at 6  in the morning is the hardest part, this happens on a very busy day.My co-workers are really friendly and intelligent people.Having to finish my duties at the end of the day makes it very enjoyable."
"Jundiaí, SP",2013-10-02,Técnico de Segurança do Trabalho,"Para um profissional em inicio de carreira a empresa precisa se preocupar com o desenvolvimento deste colaborador, onde nesta empresa no terceiro turno fica complicado aprender algo, ja que durante o dia `onde a equipe se concentra."
"Durham, NC",2013-10-01,RMA Technician,This facility in NC is also another contract driven environment that does not extend hiring. To get hired would be a feat in it's self considering they hire from outside the company. There are  several people who have been at this company for sometime and still dont know what benefits are offered because of the way things are run. The management consists of drunk country hick red necks that curse like a sailor all day. If this zoo they call a company is someone you would like to work for then go right ahead but don't say i didn't warn you.
"Ciudad Juárez, CHH",2013-10-01,Tecnico de Prueba,"me gustaban los eventos deportivos,la ayuda al fondo unido,aprendi a convivir con muchas personas,aprendi enseñe,los directivos siempre amables siempre cordiales mis amigos lo maximo aprendi de ellos muchas cosas positivas.la parte mas dificil del trabajo,los convenios,poco trabajo en lo general del trabajo me gusto todo su gente,lo que aprendi.lo que yo pude enseñar"
"Jundiaí, SP",2013-09-23,OPERADOR DE PRODUÇAO,"O trabalho de produção era bem tranquilo. Aprendi muito trabalhar em equipe e lidar com vários tipos de pessoas, a gerencia era um pouco desorganizada, sempre tem aqueles colegas de trabalho disposto a ajudar e os que gostam de prejudicar, mas acredito que em linha de produção os colegas tem que estar sempre disposto a ajudar pois um depende do serviço do outro."
"Jundiaí, SP",2013-09-17,Op. Manufatura,"Correria todos os dias, peguei experiencia no pack e linha de montagem."
"Indaiatuba, SP",2013-09-17,Operador de Produção,"Foi minha primeira experiência na área de indústria, e isso me fez um grande aprendizado, me abriram outras portas.Aprendi a trabalhar em equipe, ter responsabilidade no meu trabalho, ser perfeccionista, ser pontual e ágil.Trabalhar com superiores competentes, isso nos dá mais segurança, confiança.Trabalhar com uma equipe maravilhosa como foi a minha nesta empresa, desde os companheiros da linha, até mesmo os líderes, e outros superiores.O laço entre outras equipes também era unida, pois quando não tinhamos trabalho em nossa linha, ajudávamos outras linhas.Pela experiência que adquiri, a maturidade e a responsabilidade, outras linhas me chamavam para ajudá-los, isso me torna competente.O que se tornava mais dificil era a responsabilidade que eu tinha que ter em meu posto de trabalho, porque a Linha de Qualidade poderia, por um erro, recusar nosso material e o mesmo ser refeito, isso prejudicaria a linha toda.O ambiente era um lar pra nós, pois no dia-a-dia é que ficávamos o maior tempo de nossa vida dentro da empresa, e isso fazia de nós uma familia."
Chihuahua,2013-09-13,Enfermera ocupacionasl,Mi trabajo me gusta mucho me agrada mucho el contacto con el personal y sobretodo ayudarlo en lo mas posible es un departamento  100% de servicio al cliente y sobretodo humanista
"Jundiaí, SP",2013-09-11,Operadora de Reparos Manuais,"Foi pra mim uma empresa que me deu muita oportunidade de crescimento,me valorizava muito profissionalmente.Muito boa de se trabalhar,conquistei muito sonhos neste período...."
"Jundiaí, SP",2013-09-10,Analista de Qualidade Junior,"Dia típico de trabalho, voltado para liberação de novos documentos, aprovação de revisões, com muitas atividades em épocas de Auditorias.Aprendizado muito válido, pois o Sistema de Gestão era uma área da qual não tinha conhecimento prático e experiência.Colegas de trabalho prestativos, e motivados a trabalhar em equipe.Direção e Gerência com muita experiência e agregando conhecimento na rotina diária."
"Jundiaí, SP",2013-09-10,AUXILIAR DE PRODUÇÃO III,"A empresa tinha uma grande demanda de pedidos de mercadorias, lá aprendi tudo que não sabia em produção eramos totalmente centrados na montagem de eletronicos, e mal sabiamos o nome de quem estava do lado,até que fui promovida e voltei a me relacionar com todas as pessoas.A direção era composta por chineses, e infelizmente a maneira de eles se imporem uns com os outros, é totalmente diferente da que aprendemos no Brasil,  isso pra mim foi o mais dificil, o que aprendi foi que nunca tratei um funcionário da produção do jeito em que eu era tratada pela gerencia.O mais agradável foi conseguir atingir todas as metas , em produção e qualidade."
"Manaus, AM",2013-09-06,Revisora,"Foxconn foi uma empresa boa se trabalhar, boa rotas e adquirir mas algumas experiência, tínhamos um agradável café da manhã, almoço e lanche. o lugar era confortável de se trabalhar, tínhamos horários e metas a cumprir, e sempre com a melhor qualidade,  e tínhamos horas extra que nos ajudava mais ainda na hora de receber..."
"Plainfield, IN",2013-09-04,Product Engineer,"Typically, we work 5 days a weeksOur co-workers are friendly and managers have very excellent mentoring program for training purpose. It is great place to work."
"Jundiaí, SP",2013-09-01,Operador de produção,"Empresa um grande índice de dispensa de funcionários, mas tem um ambiente muito agradável de se trabalhar desde em sua estrutura física até á gerência."
"Houston, TX",2013-08-27,Mechanical Engineer,"Not much room for advancement -But very fast paced, high stress job.Coworkers make life enjoyable.Management doesn't always give you the required tools, so you get by with what you have."
"Houston, TX",2013-08-26,Contingent associate/ tester,"There was one night when it was end of the quarter we had so much work to do and I had one processor to look over and once I scanned it, It did not enter in the computer so I had a little hard time trying to figure out what was the problem so one of my co-workers came and helped me solve the problem and that's one the reason why I enjoyed working there because of team work would help each other out."
"Santa Clara, CA",2013-08-25,Brake Operator,No benefit After working 5 years( still temporary). They broke promises every year
"Chennai, TN",2013-08-25,TOOL & DIE MAKER,"it is mnc company, and they providing very good facilities for workers"
Engineering project manager,2013-08-24,Project Manager of Apple product ipod,"Foxconn is a big company in China, I am the engineering project manager that facing to the Apple R&D team for their ipod nano product from EVT to MP."
"Jundiaí, SP",2013-08-23,operador de produção I,"Produtividade exigida com qualidade,aprendizado foi muito bom.Com a gerência não obtivemos muito contato.Com colegas bons relacionamentos ,lidar situações que não diz respeito ao trabalho.O reconhecimento  do seu esforço ."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Chihuahua, Mexico",2013-08-21,Manufacturing Leader,"It was a good opportunity to work, remained there nine years, enjoy a lot as a leader in manufacturing lines"
"Ciudad Juárez, CHH",2013-08-19,Jefe de Grupo,Aprendí a darle el tiempo necesario a cada proceso de mi trabajo
"Manaus, AM",2013-08-16,Técnico em Mecânica Industrial,"Empresa boa de trabalhar, abrindo oportunidades para desenvolver e partilhar conhecimentos, flexibilidade de horários em turnos conforme a demanda, quanto a gerencia não tinha muito contato mas não tinha problema de relacionamento. A parte difícil era a mudança de turnos quando precisava estudar.Local onde tive as oportunidades de crescimento pessoal e profissional"
"Houston, TX",2013-08-12,Test Engineer,"Typical work day consist of, but not limited to, keeping production running smoothly without encountering any hiccups."
USA,2013-08-11,Engineer,"At Foxconn, you can learn a lot about the electronics industry and manufacturing within a very short period of time. When you join Foxconn, you should expect to work hard, adapt quickly, and always keep learning.Poor work/life balance is the major downside of working at Foxconn. It is not unusual to see people working around the clock.Hard work does not reflect in salary. There is no overtime compensation, and the pay is below average."
"Chennai, TN",2013-08-10,WIRE CUT MACHINE TECHNICIAN,very good working place and good environment.highly flexible work place
"Jundiaí, SP",2013-08-09,Operadora Produção 2,"Era muito boa para trabalha os benefícios eram bom ,mas com a queda de produção, teve que despeçar varias pessoas"
"Jundiaí, SP",2013-08-08,Tecnico Pleno em Qualidade,"Foi bom durante minha permanência na empresa, aprendi muito sobre várias atividades!Tive algumas oportunidades muito importantes."
"Jundiaí, SP",2013-08-06,Supervisor Produção,"Montei todo layout dessa empresa, fiz todas contratações, empresa de medio para grande porte, uma excelente empresa."
"Houston, TX",2013-08-01,Trainer and Line lead,a great typical place I learn fast and great team I didn't had hardest and good enjoyable place .
"Campinas, SP",2013-07-30,coordenador de manufatura,Um local para um bom aprendizado com troca de experiência principalmente após uma viagem até a China onde a troca de informações e um aprendizado com novas técnicas de trabalho
"Jundiaí, SP",2013-07-30,Assistente Administrativo,"Uma empresa que me da a oportunidade de aumentar os conhecimentos no ramo Logístico e Administrativo.Bom relacionamento com os colegas de trabalho, ambiente bom para desenvolvimento profissional.A parte mais difícil era a distância, alimentação e limpeza...A parte mais agradável, era poder treinar o inglês com os Chineses!"
"Jundiaí, SP",2013-07-29,Ténico Eletrônica,"Gostei muito de trabalhar lá, ambiente muito bom com os colegas, aprendi muito do que sou capacitado lá . Empresa também só falta melhorar no plano de carreira dos funcionarios."
"Manaus, AM",2013-07-28,multe fucional,muito boa no geral foi tudo muito bom so aprende e cresse com a empresa
"City of Industry, CA",2013-07-23,Shipping and Distribution Specialist,The only good thing about this place was that I refused to work overtime and I was paid pretty decently.Management is horrible.  They just lie to you about everything.  They constantly make promises they can't keep.  The only person that I didn't have to watch my back around was my partner.
"Indaiatuba, SP",2013-07-19,Operador de Producao,Empresa boa porem nao da estabilidade para os funcionarios nao dando oportunidade para crecimento proficional.
"Jundiaí, SP",2013-07-18,op de producao I,"trabalho fácil, mais com lideres e gerencia ruim, colegas excelentes. lugar um pouco desagradável. muitas filas e restaurante ruim. e administração ruim."
"Ciudad Juárez, CHH",2013-07-17,"Materialista, Run In, Pre Test,","Estar en esa area, muy lejos de casa, hasta santa teresa era aventurero, me gustaba mucho mi trabajo y lo disfrutaba, conoci a excelentes personas y espero volverlas a ver!"
"Jundiaí, SP",2013-07-17,Operadora de Materiais I,"Trabalho bem muitas disciplinas e de fácil aprendizado, aprendi sistema SAP e ferramentas direcionais. Gerência sempre atravez de e-mails. Colegas de trabalho organizados e focados no trabalho. Parte díficil era falta de material pra ser repassado pra linha de produção. Parte agradável é o reconhecimento do seu serviço."
"Houston, Texas",2013-07-17,NPI Planner,I love my work at Foxconn. There is always scope for learning new things and peers would be welcoming your suggestions and also eager to clarify your doubts. Compensation is very less for the work you do and management doesnt seem to address this and do anything to retain employees
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Chennai, TN",2013-07-16,India as Engineer,1. No tension in the work2. Always focus on customer satisfaction
"Indaiatuba, SP",2013-07-14,Auxiliar de Produção,"era boa para se trabalhar,porem não fiquei muito tempo por ter fracassado o serviço,todos eram muito bons,não tive dificuldades,tudo era muito agradável."
"Indaiatuba, SP",2013-07-14,Operador de maquina 2,"gostava muito de trabalhar la,é um pena que não tem uma boa estabilidade,os colegas são ótimos um ajuda o outro,não tive parte difícil,tudo era bom,cada dia aprendia mais."
"Jundiaí, SP",2013-07-11,Operador de Máquina,"Recebi  uma  grande oportunidade e confiança da Empresa, só fui dispensado por falta de produção."
"Houston, TX",2013-07-10,Product Documentation Management (PLM) Manager,Overall I enjoyed working at Foxconn but there were many challenges from time to time.  If you are multi-lingual it is a very big plus.  Depending on your job skills it is self-pacing.
"Jundiaí, SP",2013-07-10,Técnico Reparo Jr,"Foi uma empresa onde tive excelentes oportunidades para expandir meus conhecimentos adquiridos em curso, onde pude estabelecer através de um estágio, uma posição profissional dentro da empresa. Me possibilitou adquirir experiência profissional e prestígio em fazer parte de uma grande corporação.Ambiente agradável de amigos e profissionais competentes, que auxiliam e trabalham em equipe.O maior desafio é atender as elevadas normas de trabalho sem um treinamento mais eficiente, uma vez que seus produtos vinham do exterior e somente um técnico preparado para soluções adequadas ao produto.A proporção de satisfação no trabalho feito se superam quando o trabalho em equipe atinge metas e resultados."
"Indaiatuba, SP",2013-07-09,Auxiliar de Produção ,"Empresa de grande potencial humano, com pessoas amáveis e colaborativas, mas com lideres de visão limitada."
"Houston, TX",2013-07-08,Assembler/Packer,"assemble guides boxes, with the right labtops.every day would be the same thing or put you where they needed help with to get the job done that day.management wasn't overall that great but did what they had too do to get the job done.there was no hard part just  the beginning when I was starting to learn everything for the first time.enjoyable part would be when new people would come in and you would show them how to work in the area."
"Tijuana, BCN",2013-07-08,control de calidad,buen ambiente de trabajo disponibilidad de horario por que trabajaba aveces tres dias una semana y en otra cuatro dias
"Jundiaí, SP",2013-07-02,abastecedor de materiais,o bomdo meu trabalho é que todos os dias sempre todos nós trabalhavamos com emotivação. Aprendi que se trabalha com união e um ajudando ao outro e isso é possivel trabalhar em grupo.
"Jundiaí, SP",2013-06-24,Analista de Sistema,"Em um dia tipico era realizada validação, medição de tempo de produção e reparo nos sistema da fabrica. Tive a oportunidade de aprender sobre validação de sistemas especifico para o produto e aprimorar meus com suporte direto a sistema. Podendo trabalhar direto com a gerencia informado sobre o desempenho dos sistemas e a resposta dos usuários as modificações. Mesmo sendo por pouco  tempo pude fazer grandes amizades e aprendizado com os mesmos.A parte mais difícil no ambiente a fabrica para mim foi aprender a me comunicar com as equipes chinesas."
"Jundiaí, SP",2013-06-20,Líder de Qualidade de Processo,"Como estou a pouco tempo na empresa e também a empresa começou a produzir a pouco tempo aproximadamente 1 ano e meio apartir desta data 20/04 muitos problemas ainda estão sendo melhorados, como restaurante, rota dos fretados, horario de trabalho mais flexiveis aos funcionarios, trabalhos aos sabados, PLR ainda não está bem definido, mas uma empresa que vem progredindo bastante."
"Ciudad Juárez, CHH",2013-06-17,inspector de controlde calidad,"en general mi experiencia con esta empresa fue muy buena, lo único malo fue, que no había posibilidad de aspirar a planta, y además de que se ubicaba a las afueras de la ciudad, estaba demasiado lejos"
"Jundiaí, SP",2013-06-10,Operador de Produção,"A foxconn, e uma empresa muito boa, mas não da muitas chances de crescer."
"Jundiaí, SP",2013-06-09,Líder de Qualidade,"Empresa se preocupa com Meio-ambiente, se preocupa muito com sua qualidade no produto."
"Manaus, AM",2013-06-07,operadora multifuncional ,"ótimas pessoa,colegas de trabalho pestativas,a gerência nota 10,"
"Manaus, AM",2013-06-07,auxiliar de produçao,"6 meses de experiencia, com ética e disciplina , trabalhando com pessoas disciplinadas e gerenciamento qualificado."
"Jundiaí, SP",2013-06-06,operador de produçao,uma empresa otima para se trabalhar e com grandes oportunidades para seu crescimento
"Jundiaí, SP",2013-06-06,Operadora de qualidade,"O trabalho la era de muita responsabilidade , tive muito conhecimento principalmente no cargo que exerci.na epoca a gerencia era de extrema qualidade,trabalho sempre em equipe sem conflitos um ajudava o outro .Dificuldade nunca tive sou muito prestativa nas minhas , a parte mais agradavel era trabalhar um final de semana sim e o outro não ."
"Jundiaí, SP",2013-06-05,Operadora de Produção I,"O trabalho nao e pesado porem repetitivo, o aprendizado se resume a o que faço la que e montagem e testes de aparelhos celulares, e um ambiente agradavel de se trabalhar, o que e ruim e o horario de trabalho somente isso"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2013-06-03,Tecnico de Testes,"A cada momento encontramos novas oportunidades de crescermos tanto profissionalmente como pessoalmente, tive muitos aprendizados, tive oportunidades de chefiar equipes, de ser o responsavel pelo departamento, onde exigiu tanto conhecimento tecnico como humano tambem. Me desenvolvi muito, tive contato com otimos profissionais."
"Campinas, SP",2013-06-03,Técnico em eletrônico,"Empresa Agradável de trabalhar, onde tive oportunidade de adquirir novas experiências."
"Ciudad Juárez, CHH",2013-06-03,Supervisor de Recursos Humanos,"Empresa donde el aprendizaje es constante y demandante, gracias por eso, donde la actividad y desempeño es parte del perfil esperado.Disfrute mucho ser parte del inicio de operaciones y ser parte del crecimiento de la empresa.Admiro la cultura de constante esfuerzo de Foxconn"
"Industry, CA",2013-05-29,System Administrator (Internship),"Assisted with managing data storage and backup,  installing SAP system upgrades, and monitoring SAP system performance to ensure stable and uninterrupted operations of business systemWorked with HP IT teams with system upgrades to support new product introduction for customer Created SharePoint site, ensuring a fully automated creation and management of login credentials"
"Jundiaí, SP",2013-05-27,Supervisor de Produção,No meu dia de trabalho começávamos com os NPI (New Project Introduction) – Introdução de Novos Projetos / Produtos•	Preparação de Linhas de Reparo.•	Montagem e desmontagem do produto Apple.•	Gestão de Operadores e técnicas Apple. •	Reporte Gerenciais.•	Metodologia “5S”; Controle ESD / MSD;•	Ferramentas de Análise de Falhas / Análise Crítica de Relatórios e Processos.
"Jundiaí, SP",2013-05-27,operador de produçao,"minha esperiencia na foxcoon foi muito boa..aprendi muita coisa quanto profissional,quanto pessoal."
"Chihuahua, CHH",2013-05-27,Instructor (capacitación y desarrollo),Es una muy buena empresa con muchas posibilidades de desarrolloYo trabajo muy satisfecha con la empresa.El motivo por el que estoy buscando un nuevo empleo es por que me tengo que cambiar de residencia a Juarez Chih. por que mi Esposo trabaja en dicha ciudadEs una empresa electrónica que se dedica a la re manufactura. de celulares y receptores satelitales.
"Houston, TX",2013-05-26,Assembler,At Foxconn I enjoyed working things with my hands and all co-workers help each other if needed.
"Houston, TX",2013-05-23,Testing/Services/Process Engineer,"Daily workcooperate with customer's quality team and internal FA, RD team to perform failure analysis for improving product's qualityTrouble shooting all of the service boards and testing fixture.Implement all new testing software and testing hardware.re-design or programming automation testing software to improve production process.leading new project and manage the new product introductionCo-workerThey are the perfect co-worker. We always can have fund and doing the job at the same time."
"Indaiatuba, SP",2013-05-23,Reparadora de montagem,"Os dias de trabalho eram cheios de surpresa, com muita possibilidade de aprendizado em todas as áreas da produção à liderança.Aprendi muitas coisas boas, como lidar com pessoas, dar treinamento, trabalhar em um time, liderar uma linha de produção, reparar aparelhos celulares.A gerência era de total confiança, dava suporte aos supervisores, e aos líderes de produção, ajudando em tudo que era necessário.A convivência com os outros colaboradores era a melhor parte, pois nessa área de produção todos acabam se ajudando no que for necessário.Não existia parte difícil nesse trabalho, pois todas as áreas dava suporte necessário para os operadores, todos trabalhavam em conjunto para o crescimento da empresa.A parte mais agradável era o trabalho em conjunto, a empresa tinha realmente um time, os colaboradores trabalhavam em grupo, sempre dando suporte a área necessária."
"Jundiaí, SP",2013-05-22,operador de produçâo tres,a conviver com diferentes tipos de profissionais e respeitar a tdas as regras acatadas por eles.
"Tijuana, BCN",2013-05-21,"chofer , traslado personal","* ambiente agradable*conocer el mundo del ensable de la modernidad, para conformar equipos de televicion  y aparatos electronicos de uso comun nuestra sociedad,  incluso el traslado a centros de distribucion.companerismo equipo sobre todo, equipo."
"Jundiaí, SP",2013-05-17,Operadora de reparo,"Eu particularmente gostei muito de trabalhar lá ,É uma empresa que reconhece o valor do seu funcionário um lugar agradável de se trabalhar ."
8807 fallbrook dr. houston texas,2013-05-15,warehouse  asstance manger,"Once I clock in at seven in morning and headed to the warehouse, I checked to see if forklifts have been properly charged. Then checked to see if  all existing orders have been completed from previous day. Assigning workers job orders to pulled and ready for all production lines in destination areas. Safety and neatness is always required and with some coworkers you have to remind them of the seriousness to keep things in order. There is never a problem if workers need to work over. My hardest part of day is when delivery trucks are late and upper management wants to know  what is the reason for the lateness. When it is  all said and done and work is completed, we can say we pulled together as a team."
Spring TX,2013-05-14,Assembly,The Supervisor Was Great And They Really Cared About The Employees
"Ciudad Juárez, CHH",2013-05-13,Operadora de produccion,"agradable ambiente de trabajo, promociones para sobresalir."
"Jundiaí, SP",2013-05-09,Inspetor de Qualidade,"Empresa muito boa, trabalho em equipe também. A empresa oferece os benefícios necessários para capacitação de seus funcionários. Aprendi a trabalahar mais em equipe la também sempre trabalhei na área de produção e reconheço que na foxconn tem bastante chances de crescer."
"Manaus, AM",2013-05-08,Supervisor de Almoxarifado,"Toda sexta feira, entregar os pedidos dentro do prazo.Administrar situações de conflitos.Profissionais de alta competência.Competentes e determinados.Buscar soluções para atender resultados imediatos.Resultados e metas atingidos com êxitos."
"Jundiaí, SP",2013-05-08,aux de manufatura,"Fazia teste de placas , aprendi algumas coisa em eletronica , uma boa empresa para trabalhar , uma multinacional no ramo de eletronica , funcionarios agradaveis para trabalhar"
"Jundiaí, SP",2013-05-07,Operador de Maquinas S M T,Obtive mto conhecimento em Processo na linha de produção de PCBs trabalhando com máquinas da marca Panasonic
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
